side,entry_time,exit_time,entry_price,exit_price,quantity,margin,leverage,gross_pnl,fees,net_pnl,result,exit_reason,signal_score,pattern_type,tp_price,sl_price,atr_at_entry,rsi_at_entry,htf_trend
short,1768949099999,1768949999999,126.17,126.069064,0.277404,3.5,10.0,0.028,0.028,0.0,win,breakeven,16,breakout,125.7763,126.0691,0.4921,36.98,down
long,1769008499999,1769009399999,130.14,130.796571,0.268941,3.5,10.0,0.176579,0.028,0.148579,win,take_profit,17,retest,130.7966,130.2441,0.8207,73.36,neutral
short,1769014799999,1769015699999,125.59,126.244857,0.282825,3.552,10.0,-0.18521,0.028416,-0.213626,loss,stop_loss,15,breakout,124.7169,126.2449,1.0914,41.39,neutral
long,1769023799999,1769024699999,129.47,130.379714,0.268574,3.4772,10.0,0.244326,0.027818,0.216508,win,take_profit,11,engulfing,130.3797,129.5736,1.1371,45.04,neutral
long,1769025599999,1769026499999,131.5,130.713571,0.270191,3.553,10.0,-0.212486,0.028424,-0.24091,loss,stop_loss,14,breakout,132.5486,130.7136,1.3107,62.89,neutral
long,1769084099999,1769085899999,130.38,130.167,0.266045,3.4687,10.0,-0.056668,0.02775,-0.084417,loss,stop_loss,11,trend_follow,130.664,130.167,0.355,68.98,neutral
short,1769092199999,1769093099999,129.04,128.682857,0.266518,3.4391,10.0,0.095185,0.027513,0.067672,win,take_profit,17,breakout,128.6829,128.9368,0.4464,33.33,down
short,1769093999999,1769094899999,127.91,127.66,0.270724,3.4628,10.0,0.067681,0.027703,0.039978,win,trailing_stop,20,breakout,127.494,127.8077,0.52,26.48,down
short,1769095799999,1769096699999,127.02,126.918384,0.273723,3.4768,10.0,0.027815,0.027815,0.0,win,breakeven,19,breakout,126.5377,126.9184,0.6029,20.35,down
short,1769098499999,1769099399999,127.24,127.138208,0.273249,3.4768,10.0,0.027815,0.027815,0.0,win,breakeven,14,ema_pullback,126.5891,127.1382,0.8136,26.38,down
short,1769102999999,1769104799999,127.76,128.305143,0.272137,3.4768,10.0,-0.148354,0.027815,-0.176168,loss,stop_loss,10,ema_pullback,127.0331,128.3051,0.9086,34.67,down
short,1769108399999,1769109299999,127.73,127.627816,0.267374,3.4152,10.0,0.027321,0.027321,-0.0,loss,breakeven,11,ema_pullback,127.0677,127.6278,0.8279,57.41,down
short,1769149799999,1769150699999,128.35,128.219821,0.190059,2.4394,10.0,0.024742,0.019515,0.005226,win,trailing_stop,8,engulfing,128.0626,128.2473,0.3593,53.1,neutral
short,1769151599999,1769152499999,127.5,127.747714,0.268,3.417,10.0,-0.066387,0.027336,-0.093723,loss,stop_loss,15,breakout,127.1697,127.7477,0.4129,33.24,neutral
short,1769158799999,1769160599999,127.11,127.008312,0.266241,3.3842,10.0,0.027074,0.027074,-0.0,loss,breakeven,15,trend_follow,126.7197,127.0083,0.4879,31.22,down
short,1769162399999,1769163299999,127.08,127.371429,0.266304,3.3842,10.0,-0.077609,0.027074,-0.104682,loss,stop_loss,12,trend_follow,126.6914,127.3714,0.4857,31.16,down
short,1769176799999,1769177699999,126.83,126.69625,0.26394,3.3476,10.0,0.035302,0.02678,0.008522,win,trailing_stop,18,breakout,126.618,126.7285,0.265,36.55,down
short,1769185799999,1769186699999,127.8,127.69776,0.187264,2.3932,10.0,0.019146,0.019146,-0.0,loss,breakeven,9,engulfing,127.2103,127.6978,0.7371,54.74,neutral
long,1769189399999,1769190299999,129.82,129.923856,0.258091,3.3505,10.0,0.026804,0.026804,0.0,win,breakeven,12,breakout,130.5726,129.9239,0.9407,67.09,neutral
short,1769239799999,1769240699999,127.23,127.084286,0.263345,3.3505,10.0,0.038373,0.026804,0.011569,win,take_profit,17,breakout,127.0843,127.1282,0.1821,29.01,neutral
short,1769269499999,1769270399999,126.96,126.802286,0.264224,3.3546,10.0,0.041672,0.026837,0.014835,win,take_profit,14,ema_pullback,126.8023,126.8584,0.1971,45.74,down
long,1769292899999,1769293799999,127.49,127.591992,0.188238,2.3998,10.0,0.019199,0.019199,-0.0,loss,breakeven,9,engulfing,127.602,127.592,0.14,54.76,neutral
long,1769295599999,1769296499999,127.64,127.742112,0.188016,2.3998,10.0,0.019199,0.019199,0.0,win,trailing_stop,8,trend_follow,127.7771,127.7421,0.1714,60.25,neutral
short,1769300999999,1769301899999,127.08,126.909714,0.264383,3.3598,10.0,0.045021,0.026878,0.018142,win,take_profit,10,breakout,126.9097,126.9783,0.2129,44.26,neutral
short,1769305499999,1769306399999,126.98,127.140286,0.265091,3.3661,10.0,-0.04249,0.026929,-0.069419,loss,stop_loss,15,trend_follow,126.7663,127.1403,0.2671,36.36,neutral
short,1769311799999,1769312699999,126.76,126.573143,0.263634,3.3418,10.0,0.049262,0.026735,0.022527,win,take_profit,13,breakout,126.5731,126.6586,0.2336,38.46,neutral
short,1769325299999,1769326199999,126.49,126.388808,0.26482,3.3497,10.0,0.026798,0.026798,-0.0,loss,trailing_stop,14,ema_pullback,126.2974,126.3888,0.2407,48.09,down
short,1769331599999,1769332499999,126.23,126.129016,0.265366,3.3497,10.0,0.026798,0.026798,-0.0,loss,breakeven,15,breakout,126.0277,126.129,0.2529,37.99,down
long,1769345999999,1769346899999,127.03,127.131624,0.188353,2.3927,10.0,0.019141,0.019141,0.0,win,breakeven,9,trend_follow,127.2546,127.1316,0.2807,60.83,neutral
short,1769350499999,1769351399999,126.57,126.353429,0.189038,2.3927,10.0,0.04094,0.019141,0.021799,win,take_profit,9,engulfing,126.3534,126.4687,0.2707,40.0,neutral
short,1769355899999,1769356799999,125.89,125.591143,0.266689,3.3573,10.0,0.079702,0.026859,0.052843,win,take_profit,14,ema_pullback,125.5911,125.7893,0.3736,34.92,down
short,1769365799999,1769366699999,121.5,120.850857,0.277847,3.3758,10.0,0.180362,0.027007,0.153356,win,take_profit,17,breakout,120.8509,121.4028,0.8114,18.34,down
